Date,Number of Flows,Accumulated
2025-09-01,6,6
2025-09-02,8,14
2025-09-03,8,22
2025-09-04,10,32
2025-09-05,8,40
2025-09-06,4,44
2025-09-07,0,44
2025-09-08,0,44
2025-09-09,0,44
2025-09-10,0,44
2025-09-11,0,44
2025-09-12,0,44
2025-09-13,0,44
2025-09-14,0,44
2025-09-15,0,44
2025-09-16,0,44
2025-09-17,0,44
2025-09-18,0,44
2025-09-19,0,44
2025-09-20,4,48
2025-09-21,6,54
2025-09-22,5,59
2025-09-23,10,69
2025-09-24,9,78
2025-09-25,7,85
2025-09-26,11,96
2025-09-27,9,105
2025-09-28,9,114
2025-09-29,11,125
2025-09-30,10,135
