Date,Number of Flows,Accumulated
2025-11-01,2,2
2025-11-02,9,11
2025-11-03,8,19
2025-11-04,6,25
2025-11-05,12,37
2025-11-06,9,46
2025-11-07,9,55
2025-11-08,6,61
2025-11-09,6,67
2025-11-10,10,77
2025-11-11,8,85
2025-11-12,9,94
2025-11-13,14,108
2025-11-14,9,117
2025-11-15,9,126
2025-11-16,6,132
2025-11-17,8,140
2025-11-18,9,149
2025-11-19,9,158
2025-11-20,9,167
2025-11-21,8,175
2025-11-22,8,183
2025-11-23,7,190
2025-11-24,7,197
2025-11-25,2,199
2025-11-26,6,205
2025-11-27,6,211
2025-11-28,8,219
2025-11-29,9,228
2025-11-30,7,235
