Date,Number of Flows,Accumulated
2026-02-01,8,8
2026-02-02,15,23
2026-02-03,9,32
2026-02-04,13,45
2026-02-05,6,51
2026-02-06,12,63
2026-02-07,11,74
2026-02-08,13,87
2026-02-09,11,98
2026-02-10,10,108
2026-02-11,9,117
2026-02-12,10,127
2026-02-13,8,135
2026-02-14,7,142
2026-02-15,9,151
2026-02-16,7,158
2026-02-17,4,162
2026-02-18,10,172
2026-02-19,7,179
2026-02-20,10,189
2026-02-21,6,195
2026-02-22,6,201
2026-02-23,2,203
2026-02-24,7,210
2026-02-25,9,219
2026-02-26,6,225
2026-02-27,10,235
2026-02-28,11,246
