Date,Number of Flows,Accumulated
2026-05-01,17,17
2026-05-02,10,27
2026-05-03,17,44
2026-05-04,9,53
2026-05-05,14,67
2026-05-06,8,75
2026-05-07,14,89
2026-05-08,8,97
2026-05-09,8,105
2026-05-10,9,114
2026-05-11,11,125
2026-05-12,11,136
2026-05-13,12,148
2026-05-14,8,156
2026-05-15,4,160
2026-05-16,7,167
2026-05-17,3,170
2026-05-18,0,170
2026-05-19,7,177
2026-05-20,5,182
2026-05-21,12,194
2026-05-22,9,203
2026-05-23,10,213
2026-05-24,14,227
2026-05-25,6,233
2026-05-26,8,241
2026-05-27,8,249
2026-05-28,9,258
2026-05-29,12,270
2026-05-30,7,277
2026-05-31,10,287
